,1000/Tc (1/K),Compressed Pressure (bar),Compressed Temperature (K),Compression Time (ms),Equivalence Ratio,First Stage Delay (ms),First Stage Error (ms),Ignition Delay (ms),Ignition Delay Error (ms),Initial Pressure (bar),Initial Temperature (K),Simulated First Stage (ms),Simulated Overall Delay (ms),X Ar,X MV,X N2,X O2
42,1.2048,15.03,830.0,35.0,1.0,0.0,0.0,92.72,2.78,0.7748,353.0,8.100017306445466,8.715129313571943,0.7697,0.0256,0.0,0.2047
43,1.1832,15.12,845.0,31.0,1.0,0.0,0.0,65.52,3.38,0.7304,353.0,,14.237360127015464,0.7697,0.0256,0.0,0.2047
44,1.1779,15.11,849.0,31.0,1.0,0.0,0.0,52.82,1.92,0.718,353.0,,15.457823160873197,0.7697,0.0256,0.0,0.2047
45,1.17,15.09,855.0,37.0,1.0,0.0,0.0,54.92,2.34,0.6992,353.0,,18.25382804025532,0.7697,0.0256,0.0,0.2047
46,1.1471,15.14,872.0,34.0,1.0,0.0,0.0,30.26,1.22,0.6514,353.0,,25.022830097627484,0.7697,0.0256,0.0,0.2047
47,1.136,15.03,880.0,34.0,1.0,0.0,0.0,25.04,3.9,0.6236,353.0,,27.98243115395045,0.7697,0.0256,0.0,0.2047
48,1.1301,15.13,885.0,32.0,1.0,0.0,0.0,21.14,1.36,0.6154,353.0,,27.65713839708735,0.7697,0.0256,0.0,0.2047
49,1.1021,15.12,907.0,36.0,1.0,0.0,0.0,14.26,0.86,0.5595,353.0,,23.46482113807489,0.7697,0.0256,0.0,0.2047
50,1.0784,15.08,927.0,35.0,1.0,0.0,0.0,7.16,0.46,0.5159,353.0,,17.061931625582773,0.7697,0.0256,0.0,0.2047
51,1.0646,15.15,939.0,35.0,1.0,0.0,0.0,5.76,0.48,0.4916,353.0,,11.049847877013605,0.7697,0.0256,0.0,0.2047
