,1000/Tc (1/K),Compressed Pressure (bar),Compressed Temperature (K),Compression Time (ms),Equivalence Ratio,First Stage Delay (ms),First Stage Error (ms),Ignition Delay (ms),Ignition Delay Error (ms),Initial Pressure (bar),Initial Temperature (K),Simulated First Stage (ms),Simulated Overall Delay (ms),X Ar,X MV,X N2,X O2
42,1.2048,15.03,830.0,35.0,1.0,0.0,0.0,92.72,2.78,0.7748,353.0,,1.477586616010477,0.7697,0.0256,0.0,0.2047
43,1.1832,15.12,845.0,31.0,1.0,0.0,0.0,65.52,3.38,0.7304,353.0,,2.5300769746479617,0.7697,0.0256,0.0,0.2047
44,1.1779,15.11,849.0,31.0,1.0,0.0,0.0,52.82,1.92,0.718,353.0,,1.920011347808071,0.7697,0.0256,0.0,0.2047
45,1.17,15.09,855.0,37.0,1.0,0.0,0.0,54.92,2.34,0.6992,353.0,0.5999923407268355,1.9660327361504244,0.7697,0.0256,0.0,0.2047
46,1.1471,15.14,872.0,34.0,1.0,0.0,0.0,30.26,1.22,0.6514,353.0,1.2999657566080813,2.558905244745908,0.7697,0.0256,0.0,0.2047
47,1.136,15.03,880.0,34.0,1.0,0.0,0.0,25.04,3.9,0.6236,353.0,1.299947024679092,2.913321926196801,0.7697,0.0256,0.0,0.2047
48,1.1301,15.13,885.0,32.0,1.0,0.0,0.0,21.14,1.36,0.6154,353.0,,3.049088710221241,0.7697,0.0256,0.0,0.2047
49,1.1021,15.12,907.0,36.0,1.0,0.0,0.0,14.26,0.86,0.5595,353.0,2.1999452055694917,3.4309184817380682,0.7697,0.0256,0.0,0.2047
50,1.0784,15.08,927.0,35.0,1.0,0.0,0.0,7.16,0.46,0.5159,353.0,,3.4638081981976825,0.7697,0.0256,0.0,0.2047
51,1.0646,15.15,939.0,35.0,1.0,0.0,0.0,5.76,0.48,0.4916,353.0,1.299928819739165,3.097720733393409,0.7697,0.0256,0.0,0.2047
