Compressed Temperature (K), Ignition Delay (ms)
636.77212, 42.87762
636.78066, 44.83841
636.99294, 43.57803
655.22283, 29.16247
656.51665, 26.22202
656.94914, 25.52198
673.24411, 16.84763
674.11092, 15.86773
698.04250, 10.55901
699.35584, 12.10036
730.70443, 9.73697
731.57917, 10.57779
760.77141, 13.11516
808.03311, 14.40214
809.56177, 15.38339
812.38852, 14.40458
