,1000/T,100:0,25:75,50:50,75:25,0:100
600,1.6666666666666667,0.06256507935987458,0.9878613122020728,0.22511171959918272,0.10705283190973904,107.53421801766615
610,1.639344262295082,0.04116467050888959,0.6360595895847304,0.1387356163809733,0.06791786367029687,65.47491141472791
620,1.6129032258064515,0.027582305328339732,0.4247671420825029,0.08745797353692744,0.04398959495986974,40.47794532113119
630,1.5873015873015872,0.018801726786088938,0.29463231413140867,0.056379566693521954,0.029063104377996755,25.39376898351445
640,1.5625,0.013027091651311806,0.21238697788600464,0.037170724089559494,0.01957430892571594,16.15729309725169
650,1.5384615384615385,0.00916835399870104,0.15900045515635883,0.025076700944257065,0.013434729594759578,10.421393342424475
660,1.5151515151515151,0.006551282866344725,0.12336673784035512,0.01732875334473542,0.00939476519948882,6.810753048067697
670,1.492537313432836,0.004751322813292534,0.09887384173305556,0.012283969561133345,0.0066941925184094125,4.508007288044056
680,1.4705882352941178,0.0034973484850868925,0.08150655972020776,0.008949570730897966,0.004861475046912382,3.0207314813040465
690,1.4492753623188406,0.0026128615312208214,0.0687781466516668,0.006715251278167236,0.003600236953959824,2.048349540729081
700,1.4285714285714286,0.001982044998802664,0.059118029030509375,0.005199891410315578,0.0027208978117715366,1.4050573695507518
710,1.408450704225352,0.0015274373976307382,0.0515166362600233,0.004161760108057751,0.0021003531185979237,0.9745896551825532
720,1.3888888888888888,0.0011965206532725807,0.04531591764871425,0.0034451552439804505,0.0016578657088987404,0.6833326118547819
730,1.36986301369863,0.000953716819902593,0.04008491683733548,0.0029487432722743036,0.001339486397028135,0.48414383873250993
740,1.3513513513513513,0.0007742734168616284,0.035544042100754195,0.002605309056559775,0.0011087316139115537,0.34649872422058314
750,1.3333333333333333,0.0006408161091572225,0.03151628774112199,0.002370015302754303,0.0009409178661980047,0.2504206872980306
760,1.3157894736842106,0.0005412846829115807,0.027893857794986845,0.0022120144583215717,0.0008187266494771296,0.18270040668547666
770,1.2987012987012987,0.0004669366509498792,0.024612929313747627,0.002110231954675274,0.0007302214471236638,0.1345153586355592
780,1.2820512820512822,0.00041160592786082994,0.021635887541164533,0.002049288931713652,0.0006670112870823259,0.0999153634683795
790,1.2658227848101267,0.0003708407891882179,0.018938925037833183,0.002017976396419195,0.0006229994097036355,0.07484944036612731
800,1.25,0.0003414153496331999,0.016504636014435053,0.0020073461793677213,0.0005938199487322016,0.05653419615970504
810,1.2345679012345678,0.00032087342583478654,0.01431799811007608,0.002009897730730456,0.0005762740481569903,0.043040143041738164
820,1.2195121951219512,0.00030744134400264634,0.012364424707915472,0.002019225390359791,0.0005678806092161054,0.0330181648971627
830,1.2048192771084338,0.0002998320500672026,0.010629149295407444,0.0020293852163049114,0.0005667745820631949,0.025516944316976386
840,1.1904761904761905,0.00029702806211455294,0.009097167417228765,0.0020345030082331056,0.0005713965978819276,0.019860229409248073
850,1.1764705882352942,0.00029824700361083154,0.007753406266574439,0.0020277149585942586,0.0005805470239249064,0.015563473097626526
860,1.1627906976744187,0.0003028845610149221,0.006582842059836586,0.0020012765085749367,0.0005933431230914578,0.012276817911880298
870,1.1494252873563218,0.00031043600376638074,0.0055704612678996205,0.0019489739813434318,0.0006092036627349419,0.009745779011857632
880,1.1363636363636365,0.00032057653257845105,0.004701255814252517,0.0018690314905253648,0.0006278861733676399,0.007783898990812204
890,1.1235955056179776,0.00033323016024478717,0.003960249375452477,0.0017645888489182628,0.00064897316316853,0.006253578063472283
900,1.1111111111111112,0.00034853743949053424,0.003332666393840008,0.0016421314169838318,0.0006705119841618522,0.005052629794188375
910,1.098901098901099,0.0003671375142792196,0.0028041802655980673,0.0015093111820724291,0.0006882002582089718,0.004104623597767684
920,1.0869565217391304,0.0003896057343668707,0.0023612092592561144,0.00137325602376718,0.0006972800457306206,0.0033520345673348725
930,1.075268817204301,0.00041509415872998886,0.0019912215822389064,0.0012397118331378008,0.0006952995557366544,0.002751322524260761
940,1.0638297872340425,0.00043977473094928394,0.0016829022717175044,0.0011127558625969433,0.0006825013140670464,0.0022693005746433374
950,1.0526315789473684,0.0004591889094577303,0.001426256703064252,0.0009948914345452547,0.0006606425336831373,0.001880550792040274
960,1.0416666666666667,0.0004712262367897511,0.0012125956662978614,0.000887366162272178,0.0006320216529159182,0.00156547599986206
970,1.0309278350515463,0.0004757881137915144,0.0010345280581669685,0.0007904820448737562,0.0005989258807629597,0.0013089020691152225
980,1.0204081632653061,0.0004737207888074907,0.0008858352749661641,0.0007039572505915036,0.0005633259899172618,0.0010990027572139118
990,1.0101010101010102,0.00046622689007945933,0.000761318593017697,0.0006270994135380562,0.0005267674114600304,0.0009265276387250994
1000,1.0,0.0004544659496917829,0.0006566810224808837,0.0005590431135816917,0.0004903943505892064,0.0007841844077862371
